url,url_length,is_ip,url_has_at_char,number_of_dots,is_https,domain_age,page_rank,url_redirection,domain_has_dash_char,url_has_https_token,has_DNS_record,A_records,avg_ttl,asn_count,AAAA_records,avg_AAAA_ttl,has_iframe,most_frequent_domain_in_anchor,most_frequent_domain_in_link,most_frequent_domain_in_source,common_page_rate,footer_common_page_rate,has_anchor_in_body,null_link_ratio,footer_null_link_ratio,
http://cloudflare-ipfs.com/ipfs/bafybeihbyosi7cr7kfn72nia2ykzwjl4jfqzpuu2lm7lfy5n57qivu4ama/index1.html,103,False,False,2,False,155699886.77672505,5.34,False,True,False,True,2,296.0,1,2,296.0,False,True,True,True,0,0,False,0,0,
https://laughingwalrus.xyz/,27,False,False,1,True,12738783.198446989,0,False,False,False,True,1,295.0,1,0,0,False,True,True,True,0.4,0,True,0.4,0,
https://aouhe-vknme.ru/login?p=2917072165,41,False,False,1,True,2152898.153450966,0,False,True,False,True,2,296.0,1,2,296.0,False,True,True,True,0.05555555555555555,0,True,0.0,0,
https://hydsubsc.cc/,20,False,False,1,True,2190823.89495492,0,False,False,False,True,1,3599.0,1,0,0,False,True,True,True,0,0,False,0,0,
https://www.filesusr.com/html/da10f3_84399193f1fde90a24ff165dbe8c6c9d.html?/=,77,False,False,3,True,179472427.2173431,3.43,False,False,False,True,1,651.0,1,0,0,False,True,True,True,0,0,False,0,0,
https://galinapsavka.com/home.html/autoload.html?c=track,56,False,False,3,True,53557309.91563702,2.24,False,False,False,True,1,7196.0,1,0,0,False,True,True,True,0,0,True,0,0,
https://bixfsfas.net/,21,False,False,1,True,71089.93392205238,0,False,False,False,True,1,296.0,1,0,0,True,True,False,True,1.0,0,True,0.0,0,
https://dhlexpresse-qa.com/public/1HI2Xgg0ODqTWezEDt5kqcest2HvGns0,66,False,False,1,True,458273.6774740219,0,False,True,False,True,1,3242.0,1,0,0,False,True,True,True,0,0,False,0,0,
https://dhlexpresse-qa.com/public/FwoVVlrIcPiu860MvjPzNrIaYkhL1Q41,66,False,False,1,True,458281.46592593193,0,False,True,False,True,1,3234.0,1,0,0,False,True,True,True,0,0,False,0,0,
https://bafybeiarc7nzd74ard6idlnxuaweudaua4bvhqzn7vnhmoqbmw5r7cl3ym.ipfs.dweb.link/webapp.html,94,False,False,4,True,195491468.9241271,0,False,False,False,True,1,55.0,1,1,55.0,False,True,False,True,0.25,0,True,0.25,0,
http://packageinfos.com/public/W2nsXo6HPdF8zdZUoq8yham2nBA6GTbl,63,False,False,1,False,568665.8927359581,0,False,False,False,True,1,596.0,1,0,0,False,True,True,True,0,0,False,0,0,
http://packageinfos.com/public/zD9ost2ZFpUdGwZKjGraWqPfXirUwjxT,63,False,False,1,False,568669.9004170895,0,False,False,False,True,1,592.0,1,0,0,False,True,True,True,0,0,False,0,0,
